설명: [조인-INNER 2] 주문 상세(메뉴 이름, 수량)를 주문번호와 함께 확인한다.

실행 SQL:
-- [조인-INNER 2] 주문 상세(메뉴 이름, 수량)를 주문번호와 함께 확인한다.
SELECT oi.order_id AS 주문번호, m.name AS 메뉴, oi.quantity AS 수량
FROM order_item oi
INNER JOIN menu m ON oi.menu_id = m.id
ORDER BY oi.order_id;

실행 결과:
주문번호  메뉴       수량
----  -------  --
1     아메리카노    2 
1     초코케이크    1 
2     카페라떼     1 
3     카푸치노     1 
3     치즈케이크    1 
4     바닐라라떼    1 
5     카라멜마키아토  2 
6     딸기스무디    1 
7     레몬에이드    1 
7     크루아상     2 
8     아메리카노    1 
9     카페라떼     3 
10    초코케이크    1 
10    치즈케이크    1 
11    카푸치노     1 
12    바닐라라떼    1 
12    카라멜마키아토  1 
